task_id,task_name,description,start_date,end_date,priority,status,progress_percentage,estimated_hours,actual_hours,is_critical_path,category_name,parent_task_id,creator_id,created_date,completed_date
1,"Define target role, timeline, and success criteria","Choose a target role (e.g., ML Engineer, Applied Scientist) and define measurable outcomes (projects shipped, skills, applications).",2025-12-15,2025-12-16,Critical,In Progress,1,3,0,true,Project Setup,,learner@example.com,2025-12-12T00:00:00Z,
2,Set up learning environment,"Create a clean Python environment (conda/venv), install key libraries, and set up a GitHub repo structure for notes and projects.",2025-12-16,2025-12-18,High,Not Started,0,6,0,true,Foundations,,learner@example.com,2025-12-12T00:00:00Z,
3,Refresh math foundations (linear algebra + calculus basics),"Review vectors, matrices, derivatives, and gradients with focus on ML intuition.",2025-12-19,2026-01-10,High,Not Started,0,25,0,true,Foundations,,learner@example.com,2025-12-12T00:00:00Z,
4,Python for data: NumPy/Pandas practice,Complete a small notebook-based project (data cleaning + EDA) to reinforce core tooling.,2026-01-05,2026-01-18,Medium,Not Started,0,16,0,false,Foundations,,learner@example.com,2025-12-12T00:00:00Z,
5,Complete core Machine Learning curriculum,"Work through a structured ML curriculum: supervised learning, evaluation, feature engineering, and model selection.",2026-01-11,2026-02-22,High,Not Started,0,60,0,true,Machine Learning,,learner@example.com,2025-12-12T00:00:00Z,
6,Complete deep learning foundations,"Cover neural networks, backpropagation, regularization, optimization, and practical training workflows.",2026-02-23,2026-04-05,High,Not Started,0,60,0,true,Deep Learning,,learner@example.com,2025-12-12T00:00:00Z,
7,Build and ship a capstone ML project,Deliver an end-to-end project (data ingestion -> training -> evaluation -> deployment demo). Focus on clarity and reproducibility.,2026-03-15,2026-05-10,Critical,Not Started,0,80,0,true,Portfolio,,learner@example.com,2025-12-12T00:00:00Z,
8,Add basic MLOps practices to the capstone,"Add experiment tracking, simple CI checks, and a reproducible training pipeline.",2026-04-06,2026-05-17,Medium,Not Started,0,24,0,false,MLOps,,learner@example.com,2025-12-12T00:00:00Z,
9,Publish portfolio artifacts,"Polish GitHub repos, write clear READMEs, and publish 1–2 short posts describing the capstone and learning outcomes.",2026-05-11,2026-05-31,High,Not Started,0,14,0,true,Content,,learner@example.com,2025-12-12T00:00:00Z,
10,Interview prep + networking + applications,"Prepare resume + interview answers, practice coding/ML questions, and build a lightweight networking/application cadence.",2026-05-18,2026-06-30,High,Not Started,0,40,0,true,Interview Prep,,learner@example.com,2025-12-12T00:00:00Z,
