task_id,task_name,description,start_date,end_date,priority,status,progress_percentage,estimated_hours,actual_hours,is_critical_path,category_name,parent_task_id,creator_id,created_date,completed_date
1,Remove Authentication Form & Pre-Configure Token,Remove the personal token input section from the UI. Implement pre-configured GitHub token in config to allow public users to collaborate. Token should be stored securely in environment variables for GitHub Pages deployment.,2025-12-10,2025-12-11,Critical,Completed,100,4,4,true,Frontend Development,,system@example.com,2025-12-10T09:00:00Z,2025-12-10T16:00:00Z
2,Update Task Form with All Required Fields,"Add form inputs for all non-automatable task fields from template schema. Include fields for: task_name, description, status, priority, start_date, end_date, estimated_hours, category_name, tags, assigned_workers, dependencies, parent_task_id, is_critical_path. Auto-populate task_id, created_date, and creator_id.",2025-12-10,2025-12-12,Critical,Completed,100,8,6,true,Frontend Development,,system@example.com,2025-12-10T09:00:00Z,
3,Implement Task Automation Logic,"Enhance template-automation.js to automatically populate task_id, created_date, creator_id, and other automatable fields. Ensure validation happens before task creation. Support status normalization and default values from TEMPLATE_CONFIG.",2025-12-11,2025-12-13,High,Completed,100,6,5,true,Backend Development,,system@example.com,2025-12-10T09:00:00Z,
4,Create Subtask Support,Implement parent_task_id functionality to enable subtask creation. Update the UI to show parent-child relationships and support creating subtasks from task detail view. Ensure dependencies work correctly with subtasks.,2025-12-13,2025-12-15,High,Not Started,0,8,0,false,Frontend Development,,system@example.com,2025-12-10T09:00:00Z,
5,Implement Task Dependencies & Critical Path,"Add UI controls for defining task dependencies with types (FS, SS, FF, SF) and lag_days. Implement critical path visualization. Validate dependency chains to prevent circular dependencies.",2025-12-14,2025-12-17,High,Not Started,0,10,0,true,Frontend Development,,system@example.com,2025-12-10T09:00:00Z,
6,Implement Public Collaboration Features,Add user name input for public collaborators. Implement comment system on tasks. Add worker assignment without authentication. Enable status updates and progress tracking for all users. Show who made changes and when.,2025-12-15,2025-12-18,High,Not Started,0,12,0,true,Frontend Development,,system@example.com,2025-12-10T09:00:00Z,
7,Test Task Creation & Automation,"Comprehensive testing of task creation flow with all field types. Verify auto-population of task_id, dates, and creator. Test validation error messages. Test with various input combinations.",2025-12-16,2025-12-19,High,Completed,100,8,6,false,Testing,,system@example.com,2025-12-10T09:00:00Z,
8,Update Documentation & README,"Create comprehensive documentation for public users on how to use the task manager. Include examples of creating tasks, managing dependencies, setting status, and collaborating. Add developer setup guide for GitHub Pages deployment.",2025-12-20,2025-12-22,Medium,Not Started,0,6,0,false,Documentation,,system@example.com,2025-12-10T09:00:00Z,
9,Deploy to GitHub Pages,Setup GitHub Actions workflow to deploy the task manager to GitHub Pages. Configure environment variables for GitHub token. Test public access and collaboration features on live deployment.,2025-12-20,2025-12-23,Critical,In Progress,75,6,4,true,Deployment,,system@example.com,2025-12-10T09:00:00Z,
10,Project Retrospective,"Conduct project retrospective to review what went well, what could be improved, and lessons learned. Document findings and create improvement tasks for next iteration.",2025-12-24,2025-12-26,Medium,Not Started,0,4,0,false,Retrospective,,system@example.com,2025-12-10T09:00:00Z,
11,Test Playwright Create Task,Testing new task creation with auto-generated ID,2025-12-11,2025-12-12,Medium,Not Started,0,8,0,false,Testing,,Playwright Tester,2025-12-11T01:39:57.228Z,
12,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T14:55:38.926Z,
13,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T14:55:41.022Z,
14,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T14:58:03.449Z,
15,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T14:58:05.762Z,
16,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T14:58:15.781Z,
17,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T14:58:20.312Z,
18,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T15:08:56.012Z,
19,Playwright E2E Test Task,Testing automated task creation,2025-12-11,2025-12-12,High,In Progress,0,4,0,false,Testing,,Playwright Test User,2025-12-11T15:08:58.351Z,
20,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T15:11:20.451Z,
21,Stat Test Task,Test,2025-12-12,2025-12-13,Medium,Not Started,0,8,0,false,Testing,,system@example.com,2025-12-11T15:11:23.918Z,
